635317,Broccoli,10.07,0
794070,Chinese Cabbage,2.5,0
994149,Eggplant (2),8.61,0
177880,Hongshujian,7.33,0
889871,Huangbaicai (2),6.84,0
592508,Luosi Pepper,11.72,0
151984,Millet Pepper,27.18,0
192609,Naibaicai,4.73,0
151990,Needle Mushroom (Box),3.06,0
345483,Net Lotus Root (1),8.22,0
835750,Paopaojiao (Jingpin),9.87,0
916192,Qinggengsanhua,6.87,0
760349,Shanghaiqing,7.32,0
133174,Spinach,10.28,0
247321,Wuhu Green Pepper (1),7.58,0
864181,Xixia Mushroom (1),18.15,0
184283,Yunnan Lettuce (Bag),3.41,1
342213,Yunnan Lettuces,7.04,0
981080,Yunnan Shengcai,8.18,0
827839,Zhuyecai,7.82,0
